AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
ap-southeast-2c,r4.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1338,2019-12-31
ap-southeast-2c,r4.xlarge,SUSE Linux (Amazon VPC),0.1738,2019-12-31
ap-southeast-2c,r4.xlarge,Linux/UNIX (Amazon VPC),0.0738,2019-12-31
ap-southeast-2b,d2.8xlarge,Red Hat Enterprise Linux (Amazon VPC),2.218,2019-12-31
ap-southeast-2a,d2.8xlarge,Red Hat Enterprise Linux (Amazon VPC),2.218,2019-12-31
ap-southeast-2b,d2.8xlarge,SUSE Linux (Amazon VPC),2.188,2019-12-31
ap-southeast-2a,d2.8xlarge,SUSE Linux (Amazon VPC),2.188,2019-12-31
ap-southeast-2b,d2.8xlarge,Linux/UNIX (Amazon VPC),2.088,2019-12-31
ap-southeast-2a,d2.8xlarge,Linux/UNIX (Amazon VPC),2.088,2019-12-31
ap-southeast-2b,d2.8xlarge,Red Hat Enterprise Linux,2.218,2019-12-31
ap-southeast-2c,d2.8xlarge,Red Hat Enterprise Linux,7.09,2019-12-31
ap-southeast-2a,d2.8xlarge,Red Hat Enterprise Linux,2.218,2019-12-31
ap-southeast-2b,d2.8xlarge,SUSE Linux,2.188,2019-12-31
ap-southeast-2c,d2.8xlarge,SUSE Linux,7.06,2019-12-31
ap-southeast-2a,d2.8xlarge,SUSE Linux,2.188,2019-12-31
ap-southeast-2b,d2.8xlarge,Linux/UNIX,2.088,2019-12-31
ap-southeast-2c,d2.8xlarge,Linux/UNIX,6.96,2019-12-31
ap-southeast-2a,d2.8xlarge,Linux/UNIX,2.088,2019-12-31
ap-southeast-2b,d2.8xlarge,Windows,2.766,2019-12-31
ap-southeast-2c,d2.8xlarge,Windows,7.638,2019-12-31
ap-southeast-2a,d2.8xlarge,Windows,2.766,2019-12-31
ap-southeast-2b,m5.large,Windows (Amazon VPC),0.1282,2019-12-31
ap-southeast-2c,m5.large,Windows (Amazon VPC),0.1282,2019-12-31
ap-southeast-2a,m5.large,Windows (Amazon VPC),0.1282,2019-12-31
ap-southeast-2b,r5d.large,Windows (Amazon VPC),0.1299,2019-12-31
ap-southeast-2c,r5d.large,Windows (Amazon VPC),0.1299,2019-12-31
ap-southeast-2a,r5d.large,Windows (Amazon VPC),0.1299,2019-12-31
ap-southeast-2b,r3.xlarge,Windows (Amazon VPC),0.2948,2019-12-31
ap-southeast-2c,r3.xlarge,Windows (Amazon VPC),0.2948,2019-12-31
ap-southeast-2a,r3.xlarge,Windows (Amazon VPC),0.2948,2019-12-31
ap-southeast-2b,r3.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1288,2019-12-31
ap-southeast-2a,r3.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1288,2019-12-31
ap-southeast-2b,r3.xlarge,SUSE Linux (Amazon VPC),0.1688,2019-12-31
ap-southeast-2a,r3.xlarge,SUSE Linux (Amazon VPC),0.1688,2019-12-31
ap-southeast-2b,r3.xlarge,Linux/UNIX (Amazon VPC),0.0688,2019-12-31
ap-southeast-2a,r3.xlarge,Linux/UNIX (Amazon VPC),0.0688,2019-12-31
ap-southeast-2a,r4.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4239,2019-12-31
ap-southeast-2a,r4.4xlarge,SUSE Linux (Amazon VPC),0.3939,2019-12-31
ap-southeast-2a,r4.4xlarge,Linux/UNIX (Amazon VPC),0.2939,2019-12-31
ap-southeast-2b,r5d.large,Red Hat Enterprise Linux (Amazon VPC),0.0979,2019-12-31
ap-southeast-2c,r5d.large,Red Hat Enterprise Linux (Amazon VPC),0.0979,2019-12-31
ap-southeast-2a,r5d.large,Red Hat Enterprise Linux (Amazon VPC),0.0979,2019-12-31
ap-southeast-2b,r5d.large,SUSE Linux (Amazon VPC),0.1379,2019-12-31
ap-southeast-2c,r5d.large,SUSE Linux (Amazon VPC),0.1379,2019-12-31
ap-southeast-2a,r5d.large,SUSE Linux (Amazon VPC),0.1379,2019-12-31
ap-southeast-2b,r5d.large,Linux/UNIX (Amazon VPC),0.0379,2019-12-31
ap-southeast-2c,r5d.large,Linux/UNIX (Amazon VPC),0.0379,2019-12-31
ap-southeast-2a,r5d.large,Linux/UNIX (Amazon VPC),0.0379,2019-12-31
ap-southeast-2b,d2.8xlarge,Windows (Amazon VPC),2.766,2019-12-31
ap-southeast-2a,d2.8xlarge,Windows (Amazon VPC),2.766,2019-12-31
ap-southeast-2b,r3.xlarge,Red Hat Enterprise Linux,0.1288,2019-12-31
ap-southeast-2c,r3.xlarge,Red Hat Enterprise Linux,0.459,2019-12-31
ap-southeast-2a,r3.xlarge,Red Hat Enterprise Linux,0.1288,2019-12-31
ap-southeast-2b,r3.xlarge,SUSE Linux,0.1688,2019-12-31
ap-southeast-2c,r3.xlarge,SUSE Linux,0.499,2019-12-31
ap-southeast-2a,r3.xlarge,SUSE Linux,0.1688,2019-12-31
ap-southeast-2b,r3.xlarge,Linux/UNIX,0.0688,2019-12-31
ap-southeast-2c,r3.xlarge,Linux/UNIX,0.399,2019-12-31
ap-southeast-2a,r3.xlarge,Linux/UNIX,0.0688,2019-12-31
ap-southeast-2b,r3.xlarge,Windows,0.2948,2019-12-31
