Resource ID,Service Name,Usage Quantity,Usage Unit,Region / Zone,CPU Utilization (%),Memory Utilization (%),Network Inbound Data (Bytes),Network Outbound Data (Bytes),Usage Start Date,Usage End Date,Cost per Quantity ($),Unrounded Cost ($),Rounded Cost ($),Total Cost (INR)
resource_433,Artifact Registry,78.4386,GB,asia-east1,93.44,82.65,4.44268E+11,4.44679E+11,2022-01-01 00:00:00,2022-01-04 13:00:00,1.9891,156.0222193,156,12948
resource_155,Dialogflow,192,Requests,asia-south1,59.39,75.17,8.94307E+11,8.94806E+11,2022-01-01 00:00:00,2022-01-09 01:00:00,8.8297,1695.3024,1695,140685
resource_934,Cloud Pub/Sub,313,Requests,us-west1,71.72,83.31,1.96747E+11,1.97532E+11,2022-01-01 00:00:00,2022-01-06 22:00:00,7.4046,2317.6398,2318,192394
resource_511,Cloud Armor,262,Requests,us-central1,86.48,27.19,87126169561,87921118110,2022-01-01 00:00:00,2022-01-05 07:00:00,9.1351,2393.3962,2393,198619
resource_666,Cloud Tasks,232,Requests,asia-east1,99.56,51.72,4.21947E+11,4.22011E+11,2022-01-01 00:00:00,2022-01-03 15:00:00,4.7032,1091.1424,1091,90553
resource_922,Cloud Dataflow,14,Hours,us-central1,5.5,7.78,5.25809E+11,5.26341E+11,2022-01-01 00:00:00,2022-01-01 14:00:00,4.7604,66.6456,67,5561
resource_267,Cloud Filestore,87.5028,GB,us-central1,19.12,21.46,7.31182E+11,7.31702E+11,2022-01-01 00:00:00,2022-01-06 11:00:00,0.8742,76.49494776,76,6308
resource_472,Cloud Monitoring,52.2899,GB,us-central1,22.32,87.68,3.76038E+11,3.76675E+11,2022-01-01 00:00:00,2022-01-09 13:00:00,4.7893,250.4320181,250,20750
resource_995,Secret Manager,778,Requests,us-west1,22.75,77.57,4.39202E+11,4.39205E+11,2022-01-01 00:00:00,2022-01-16 23:00:00,4.8314,3758.8292,3759,311997
resource_293,Cloud Run,390,Requests,us-west1,14.04,50.17,9.93365E+11,9.9409E+11,2022-01-01 00:00:00,2022-01-02 06:00:00,9.4867,3699.813,3700,307100
resource_504,Cloud Pub/Sub,463,Requests,us-east1,45.98,33.84,2.3231E+11,2.32806E+11,2022-01-01 00:00:00,2022-01-02 08:00:00,3.8522,1783.5686,1784,148072
resource_327,Artifact Registry,14.0914,GB,asia-east1,75.83,87.76,6.47108E+11,6.47499E+11,2022-01-01 00:00:00,2022-01-11 05:00:00,7.2998,102.8644017,103,8549
resource_587,Cloud Monitoring,24.615,GB,asia-south1,57.02,60.39,7.43797E+11,7.4432E+11,2022-01-01 00:00:00,2022-01-06 08:00:00,2.9083,71.5878045,72,5976
resource_381,Cloud SQL,193,Hours,us-central1,15.17,36.31,86203081719,86846867190,2022-01-01 01:00:00,2022-01-09 02:00:00,5.7592,1111.5256,1112,92296
resource_458,App Engine,727,Hours,us-central1,59.22,46.97,2.78378E+11,2.78513E+11,2022-01-01 01:00:00,2022-01-31 08:00:00,3.3623,2444.3921,2444,202852
resource_914,Cloud Run,785,Requests,asia-south1,13.19,30.41,4.22299E+11,4.22787E+11,2022-01-01 01:00:00,2022-01-06 03:00:00,6.4798,5086.643,5087,422221
resource_423,Cloud Dataproc,180,Hours,asia-east1,13.55,41.73,1.45281E+11,1.45578E+11,2022-01-01 01:00:00,2022-01-08 13:00:00,5.6349,1014.282,1014,84162
resource_98,Cloud Filestore,99.3152,GB,asia-south1,19.96,7.17,6.01491E+11,6.01653E+11,2022-01-01 01:00:00,2022-01-04 10:00:00,1.2471,123.8559859,124,10292
resource_180,Cloud Monitoring,58.4285,GB,us-west1,25.06,27.05,5.28568E+11,5.29295E+11,2022-01-01 01:00:00,2022-01-06 01:00:00,8.2511,482.0993963,482,40006
resource_717,Cloud Tasks,396,Requests,us-west1,7.91,41.62,4.75646E+11,4.76012E+11,2022-01-01 01:00:00,2022-01-02 16:00:00,4.5322,1794.7512,1795,148985
resource_182,Cloud Scheduler,98,Requests,asia-east1,93.98,65.52,7.69527E+11,7.70425E+11,2022-01-01 01:00:00,2022-01-03 03:00:00,9.1338,895.1124,895,74285
resource_183,Artifact Registry,83.1237,GB,us-east1,23.72,28.69,6.42268E+11,6.4277E+11,2022-01-01 01:00:00,2022-01-02 06:00:00,6.7951,564.8338539,565,46895
resource_290,Cloud Functions,654,Requests,europe-west1,27.33,32.27,7.33061E+11,7.33986E+11,2022-01-01 02:00:00,2022-01-03 20:00:00,4.2652,2789.4408,2789,231487
resource_377,Cloud SQL,163,Hours,asia-east1,66.02,97.45,3.42538E+11,3.43376E+11,2022-01-01 02:00:00,2022-01-07 21:00:00,6.1535,1003.0205,1003,83249
resource_683,Secret Manager,645,Requests,us-east1,34.87,7.31,3.35837E+11,3.36171E+11,2022-01-01 02:00:00,2022-01-03 10:00:00,2.6013,1677.8385,1678,139274
resource_570,Cloud CDN,399,Requests,asia-east1,71.15,73.75,5.61695E+11,5.62588E+11,2022-01-01 03:00:00,2022-01-03 09:00:00,3.5368,1411.1832,1411,117113
resource_319,Cloud Pub/Sub,478,Requests,us-east1,66.66,88.55,2.79461E+11,2.80405E+11,2022-01-01 03:00:00,2022-01-15 15:00:00,1.6816,803.8048,804,66732
